description,category,confidence
"Project Name: Life Vacation - Decentralized Co-Living & Travel Guide Ecosystem  

Track: ElizaOS  

Mission:  
Life Vacation revolutionizes global nomadic living by building a self-sustaining ecosystem where content creation, community curation, and value capture converge on-chain. Leveraging Sui’s high-speed blockchain and AI-powered governance, we solve the $1.2T travel industry’s critical pain points: fragmented information, opaque monetization, and centralized platform control.  

Core Innovation:  
NFT-Powered Audit Alliance  
- Exclusive ""Auditor Pass"" NFTs grant review rights, with holders staking $LIFE to join a self-policing DAO.  
- 10 anonymous reviewers per submission; 7/10 votes trigger automated payout via Move smart contracts.  

Fixed-Cost Content Economy  
- Creators pay 300 $LIFE (non-refundable) per submission, with 95% distributed to reviewers and 5% burned.  
- Dynamic rewards: Top-voted guides generate perpetual royalties via Sui’s Object NFT versioning.  

Sui-Centric Architecture:  
- ZKLogin onboarding: Web2 users access Web3 rewards via social accounts.  
- Dynamic Objects: Each city guide evolves as a mutable NFT, tracking contributions and revenue splits.  
- DeepBook integration: Community housing bookings utilize liquidity pools for fair pricing.  


Progress:  
- Launched MVP with 1000 cities.  
 

Sui Ecosystem Impact:  
- Introduces first travel-specific Object standards.  
- Expands ZKLogin adoption to 100K+ nomadic creators.  
- Drives $LIFE utility across DeFi (staking), SocialFi (reputation), and governance.  

Vision:  
To become the Layer1 for global travel intelligence, where every café recommendation and surf spot update becomes a collectively owned, fairly compensated digital asset.  

---  
Imagine Lonely Planet meets Uniswap – where your travel tips earn perpetual yields.""
",Social,0.7
"7K LP Agent: AI-Driven Liquidity Optimization

The Problem

Concentrated liquidity AMMs advertise high APR returns, but in reality, LPs suffer losses from impermanent loss, poor liquidity range selection, and trading fees. Manual LP management is inefficient, leaving users exposed to suboptimal returns.

Our Competitive Edge

Backed by proprietary research on optimal LP strategies, 7K LP Agent applies AI-driven liquidity optimization models to dynamically adjust LP positions, minimizing risks and maximizing yield better than rule-based or naive strategies.

Paper: https://u4xtuh1hoqs.sg.larksuite.com/file/FIJFbokCoogxctxObe7lr5TAgAh

How It Works
        •        AI-Optimized LP Positioning – Predicts profitable liquidity ranges, reducing impermanent loss.
        •        Automated Reallocation – Dynamically shifts funds based on market conditions for maximum efficiency.
        •        Smart Fee Capture – Optimizes trading fee earnings while adjusting for volume changes.
        •        Real-Time Market Intelligence – Aggregates on-chain and social data to anticipate market trends.

The Vision: AI-Powered Passive Income

7K LP Agent is more than an LP optimizer—it’s a stepping stone to AI-driven wealth management. As intelligence scales, it will evolve into a fully autonomous DeFi asset manager, seamlessly reallocating capital for optimal long-term yield.

7K LP Agent: Turning Liquidity into Smart Capital

With DeFi complexity growing, human LPs can’t keep up. 7K LP Agent ensures effortless, optimized liquidity management, bringing the future of AI-native passive income to DeFi. 🚀",DeFi,0.95
"MintAI is an innovative AI-powered platform built on the SUI blockchain that enables users to generate, mint, and trade AI-generated content as NFTs. The goal of the project is to bring fun and engagement to the community through witty AI generated content.

🌟 Key Features
- AI-Powered Chat Interface: Engage with a witty AI assistant that generates both text responses and matching images
- NFT Minting: Convert AI-generated images directly into NFTs on the SUI blockchain
- Secure Authentication: Implemented zkLogin for seamless and secure user authentication
- Cloud Storage Integration: Utilizes Walrus for decentralized storage of generated images
- Enhanced Prompts: Leverages Atoma for intelligent prompt enhancement and natural text generation",NFT,0.95
Generating AI images on Atoma,NFT,0.85
"The Autonomous and Composable AI Agent Framework on Sui. Currently, we are focusing on DeFAI operation at framework level to accelerate developers to build on SUI using our framework",Infrastructure,0.85
"IVAN AI is a DeFAI (DeFi + AI) agent designed to streamline user interaction with the SUI ecosystem. It offers real-time assistance for navigating and executing transactions on the SUI blockchain, simplifying complex DeFi operations and optimize yield for users.

The Problem:
DeFi can be challenging for new users and even experienced users due to complex terminology, multi-step processes, and susceptibility to errors and scams. IVAN addresses these issues by integrating AI with DeFi tools to simplify operations, enhance security, and enable data-driven decision-making.

IVAN AI's Approach:
Simplified DeFi Navigation: Generate transactions for complex tasks like token swaps, lending, and on-chain analysis with simple natural language instructions.
Error Reduction: AI-driven validations minimize risks including sending tokens to incorrect address, address typos,  scam websites, and other oversights.
Real-Time Insights: Provides actionable data for smarter financial decisions.

Core Features:
AI Agent Specialized in SUI Blockchain: Tailored guidance for SUI interactions (built on NAVI Protocol).
On-Chain Data Analysis: Real-time insights into blockchain transactions and trends.
Token APY & Price Monitoring: Up-to-date token yield and price information.
Token Swaps via NAVI DEX Aggregator: Simplified cross-token exchanges.
Supply & Borrow on NAVI Protocol: Manage lending and borrowing directly.
Portfolio Management: Track and optimize user assets within the SUI ecosystem.

Tech Stack:
Frontend: Next.js, TypeScript, Tailwind CSS
Blockchain: SUI SDK, NAVI Protocol
AI Infrastructure: Atoma Network

By abstracting technical complexity, IVAN AI makes SUI DeFi more accessible to both beginners and experienced users, enabling broader adoption and safer engagement in SUI ecosystem.
",DeFi,0.95
"Sui AI Coin is a Web3-powered AI platform that enables users to create their own AI agents and integrate personalized tokenomics. Each AI agent corresponds to its own unique cryptocurrency (coin), allowing for decentralized interaction, governance, and incentive mechanisms.",Infrastructure,0.9
"The Anemone framework, an open - source framework, can transform objects on the Sui network into AI agents (BOTs). This framework comprehensively covers the entire life cycle of object - based intelligent robots, from their inception, continuous development, to the process of providing services, offering systematic support for the construction of intelligent robot applications on the Sui network.",Infrastructure,0.95
"SuiAutoFi is a revolutionary DeFi automation platform that leverages AI to optimize yield farming, trading, and portfolio management strategies on the Sui network. The platform combines smart contracts with AI agents to provide intelligent, automated DeFi operations.",DeFi,0.95
"Full-stack Defi AI Starter Kit
- allows users build, interact and deploy their own DeFi AI agent on the Sui blockchain within minutes
- Allowing users to connect and chat with any LLM from any provider even locally hosted
- privacy focused, trusted execution environment (TEEs)

Included Components: 
- Sui Wallet Kit
- AI itegration
- Connect with Open source LLM(s) - Llama3.3 / DeepSeek R1
- decentralized AI compute via Atoma Network
- run locally for full privacy via Ollama
- AI Tools 
Search Internet
Check crypto price (BTC, ETH, SUI)
Search / Analyze DeFi 
NAVI + Bluefin 
Send Sui 
- Modern, responsive interactive UI + chatbox 
",DeFi,0.95
"Sui Light Agent is a powerful tool designed to interact with Sui Network. It leverages OpenAI's GPT-4o-mini model to provide a conversational interface for users to perform various blockchain operations, such as checking wallet balances, sending transactions, and more (you can extend in a simple way). The assistant embodies the persona of any character you want.",Infrastructure,0.95
A first-of-its-kind platform for agentic gaming featuring AI agents that intelligently answer questions for gaming quests and agent-assisted creation of phygital assets to wear in games and real life.,Gaming,0.95
"Fate3AI combines advanced artificial intelligence technology with traditional metaphysical playing methods such as Tarot and I Ching to provide users with personalized fate predictions, advice and entertainment experiences through AI-driven algorithms. The platform uses AI to generate diversified metaphysical content and create more creative entertainment based on users' needs and interests. Users can not only understand their future through tarot cards, I Ching, etc., but also enjoy customized services and interactive experiences based on these predictions to create a unique destiny experience.",Other,0.9
"AI Agent based on ElizaOS
Empowering your Sui DeFi Journey",DeFi,0.95
"Sui Earn is a decentralised platform designed to connect skilled contributors with bounties, grants, and opportunities within the Sui blockchain ecosystem. The platform fosters collaboration,talent, and accelerates the growth of the Sui ecosystem by matching contributors with projects in need",DeFi,0.85
"Automate the memecoin creation.

Base of a prompt or a tweet, you can quickly launch a memecoin. The agent will handle all the hard things for you such as: generating the token name, the ticker, the description, the narrative, the icon, ... 

The Agent can set up the social medias for you too! It can create a Telegram group, add some bots for management, make someone admin, and it can make a Twitter profile (can be managed by the agent) for the project! Imagine combining all of this, you can have a workflow such as:

Input as a Tweet from Influencer (such as CZ, Elon, Adeniyi, ...), launch a token (stealth launch or funpad), set up a Telegram group and Twitter profile. All automatically!!!",DeFi,0.9
"Cyper is a next-generation social network (society) where humans and AI agents coexist, collaborate, and evolve together. 

In Cyper, humans can not only interact with other humans, but they can also ""raise"" AI agents equipped with self-evolutionary capabilities and emotional perception. By integrating technologies like generative AI, blockchain, and affective computing, Cyper introduces AI agents into social relationship graphs, aiming to create a pioneering social network that blends emotional companionship, diverse values and economic incentives.

Site:  https://cyper.ai/ ",Social,0.95
"SUI Roast Agent that serves a roast to a given wallet address.
It verifies transactions, owned nfts, and owned tokens to serve the roast.

It also checks if the wallet exists or not.",Infrastructure,0.85
"Dominion Protector is an AI-powered security suite for the Sui blockchain, protecting users from malicious smart contracts and risky transactions. It includes a Chrome extension that analyzes transaction risks, explains security threats, and enables rollback mechanisms. Additionally, an AI-enhanced blockchain explorer allows users to inspect smart contracts, generate secure transactions, and interact with dApps safely",Security,0.95
"A space for remembrance and reflection, designed with a retro OS-inspired interface.
Let the AI embody the ones you long to see but can no longer meet, as you record and share the life you've lived after their departure.",Social,0.85
Core Navi plugin for Eliza OS that provides essential services and actions for token operations and wallet management.,Infrastructure,0.95
"Rivals AI entertain football fans with ridiculous robots who troll their rivals! We think football club social media accounts are boring and too safe. So we're building AI alternatives in the form of exaggerated AI super fans who constantly promote the club, share their unfiltered options and troll rival fans. 

Each bot will control it's own SUI wallet and have it's own meme coin which it can choose to airdrop to deserving fans. Sell pressure will be balanced with a burn mechanism that kicks in whenever that bot's team wins a match.

Long term our vision is for these bots to become influential parts of a club's fanbase. With access to all the relevant news on twitter they will be able to break news before journalists and perhaps even provide betting tips informed by the vast amounts of data at their disposal.  ",Social,0.85
"Homour9x is an AI-driven ecosystem that curates, generates, and delivers news and trending content in an engaging, interactive way. The system features AI-powered character personas that handle diverse content types—from news reporting and meme creation to sentiment analysis and opinion pieces.

The project seamlessly integrates with Twitter, Discord, and Telegram, enabling automated content distribution and AI-driven conversations. Users can also create and monetize their AI-generated content as NFTs on the Sui blockchain through Move smart contracts. 

Homour9x also introduces secure Eliza OS character/agent tokenization, which creates new opportunities for AI agent reuse while protecting the royalties and intellectual property of the AI agent creator. This unique concept helps leverage new revenue models for the platform, AI agents, AI agent creators, and platform users.",NFT,0.85
"❤️☠️🤖 Saito, the “Web3 Siri”, built by Sight AI Labs,  is a personal AI agent, supervisor of your agent swarm.
It helps users with DeFi and token trading, dApp discovery, calendar coordination, news aggregation, and even managing a network of 3rd-party agents.
🍏 Deck: https://docsend.com/v/q7q8s/saito25
🍎 Demo: https://docsend.com/view/s/iibtjrnpyp8xyp5b
----------------
Features
📊 “DeFAI”. SFT on 87GB trading data from Binance/Bybit (42K wallets, 120M trade records) to make smart trading suggestions, not just executions.  
💬 User friendly. We have built a beta version on Telegram chatbot. It’s also backed by 10GB TG Social & TX data (6M+ unique addresses). Web/Twitter/Discord integration in progress.  
🚀 Integrity. cryptographically signed and verified. Collaborated with Phala Network’s TEE solution.  
🔒 Privacy-First. For sensitive data, encrypted queries via RAG + FHE for secure data access without computational overhead.  
🌍 Community-Based. Testnet campaign of the legacy version reached 59K+ addresses and 1.2M+ transactions in 1.5 months.
----------------
Partnerships
🥂Babylon, Zama, Google, Scroll, EthStorage, Mask Network, Phala Network, Ocean Protocol, NTU, USC, FHE.org, 
----------------
Team  
😆 Google Assistant Founding Eng
😎 Serial Entrepreneur (2 exits)  
😑 Cryptographic Researcher (USC Professor)  
😃 UChicago, Oxford alumni
----------------
Follow us
- Twitter: https://x.com/theSightAI 
- Telegram: https://t.me/sightai",Infrastructure,0.95
"Jokepapa is a Dad-Joke AI Agent + a Meme Coin Launchpad.

#BuildonSui
_

Simply 4 steps to launch a meme coin with Jokepapa.

Step1. Write down a good joke
Step2. Ship it on Twitter w/ @thejokepapa & Ur address
Step3. Wait for Papa's reply. (🚀 Launched, or 😐 Next one, please)
Step4. Check out ""testnet.jokepapa.fun""
_

Integrations:
• Walrus - Token metadata / Website codebase
• Eliza - AI Agent Framework",DeFi,0.85
"FungIPle is dedicated to creating an IP-based AI Agent platform aimed at providing users with a personalized and intelligent social assistant experience. By merging Agents with iconic Web2 IPs, we aim to attract a diverse range of mainstream users, effectively bridging the gap between Web2 and Web3, and facilitating a smooth transition for social media users into the decentralized ecosystem.

Our platform is built on the Eliza framework and utilizes Cooperative Model Context Protocol (Co-MCP) technology to tackle the challenges of personalization and collaborative data for large models. The intelligent evolution of the agents, along with the resulting network effects, will continually enhance the competitiveness and influence of the agent network.",Social,0.95
"We have developed an AI agent that ingests knowledge from GitHub, technical documentation, and on-chain data, and presents it in a conversational format. We will soon be adding on-chain actions, such as bridging funds and earning yield. Essentially, our goal is to consolidate all knowledge related to a project and allow users to interact with it through chat.

To make this possible, we are employing several AI agents—agents that generate code, agents that execute on-chain transactions, and more.",Infrastructure,0.95
"Suiiii provides several agentic workflows for the Sui ecosystem. It is built with AIM which streamlines onchain programming by leveraging a Markdown-inspired language that lets you write near-natural language instructions for AI-driven blockchain workflows without the usual verbosity.

Instead of writing extensive boilerplate, AIM enables you to perform tasks like filtering tokens on a DEX or checking your balance with simple, intuitive commands, seamlessly integrating with Sui's ecosystem. 

This approach not only reduces the overhead associated with traditional coding and LLM token usage but also frees you from vendor lock-in, offering a more accessible, cost-effective, and adaptable solution for decentralized applications.",Infrastructure,0.95
"# NexusAgent 🌟
> Orchestrating a nexus of DeFi Agents to act autonomously on the Sui blockchain

## Overview

NexusAgent is an agentic DeFi orchestration layer built on the Sui blockchain, leveraging Atoma's decentralized AI infrastructure to enable automated and privacy-preserving DeFi operations across multiple protocols.

### 🎯 Core Features

- **Privacy-First Architecture**: Utilizing Atoma's Trusted Execution Environments (TEEs) for secure and private transaction execution
- **Multi-Protocol Integration**: Seamless interaction with:
  - SuiLend for lending/borrowing operations
  - Bluefin for derivatives trading
  - Aftermath Finance for DEX operations
  - Navi Protocol for yield optimization
- **ZK Login Integration**: Simplified user onboarding with zero-knowledge proof authentication
- **Intelligent Order Routing**: Smart contract-based execution with optimal path finding
- **Automated Risk Management**: Real-time monitoring and adjustment of positions

## 🔧 Technical Architecture

### Core Components

1. **Atoma AI Layer**
   - Decentralized compute network for strategy execution
   - OpenAI-compatible API integration
   - Privacy-preserved computation through TEEs

2. **Protocol Integrations**
   - SuiLend SDK integration for lending markets
   - Bluefin API for derivatives trading
   - Cross-protocol liquidity aggregation
   - Automated position management

3. **Security Layer**
   - ZK Login authentication
   - Secure key management
   - TEE-based private execution

🎯 Future Goals & Roadmap

Protocol-Specific Agents
- Dedicated agents for SuiLend, Bluefin, Aftermath & Navi
- Specialized strategy execution and risk management per protocol
- Autonomous decision-making within protocol parameters

Cross-Chain Expansion
- Multi-Chain Support for token transfer to & fro from SUI to other L1/L2s
- Unified interface for multi-chain DeFi operations related to SUI 

Advanced Agent Capabilities
- Inter-Agent Communication :Agent coordination for complex DeFi strategies
- Shared liquidity pools and risk assessment
- Collaborative decision-making framework

Agent Marketplace
- Custom Agent Development
- Community-built agents for specific strategies
- Agent performance tracking and rankings
- Revenue sharing for successful agent deployments",DeFi,0.95
Multiagent system that manages funds on behalf of users having data from different resources from the market and social media.,DeFi,0.85
"RinAI is a sophisticated agentic companion, leveraging graph-based Retrieval Augmented Generation (RAG), real-time tool usage, intelligent context management, and a dynamic Large Language Model (LLM) gateway. This combination empowers RinAI to engage in roleplaying, hold flirty conversations, and provide insightful responses based on a rich understanding of context and access to up-to-date information.

RinAI's open source agentic framework is highly customizable and suited for any number of llms, Ai models, and tools that can be utilized to create the perfect agent for any use case.

For the Sui Typhoon Hackathon we have created the Rin Agentic Framework and utilized Atoma Network's meta-llama/Llama-3.3-70B-Instruct model to power the core chat and orchestration components of RinAI enabling a secure private layer. This allows for Rin to be powered by private compute and offers privacy for users. Next steps are Sui wallet integration, additional Tooling for Sui dApps, and a formal account model system.",Other,0.9
"Everion is an AI-driven intelligence layer that extracts on-chain insights from Telegram & Twitter, processes them via Everion Nodes (fastapi), and enables interactive analysis through ElizaOS. Designed to search through the noise, surface actionable insights, and bridge the gap between analysis and execution, while closing the pain point of crypto natives.",Infrastructure,0.9
"HealthGuard AI is a decentralized AI-powered health assistant that empowers users to own, control, and monetize their health data while receiving personalized medical insights. Built on Sui’s privacy-first infrastructure and leveraging Atoma Network’s verifiable AI, HealthGuard AI redefines healthcare by combining cutting-edge AI with blockchain technology to ensure data sovereignty, transparency, and user empowerment.

Key Features

1. ChatGPT-Like Interface:
Natural language interactions for symptom checks, diet plans, fitness coaching, and mental health support.

2. Privacy-Preserving AI with Atoma SDK:
Health data (wearables, EHRs, genomic data) is analyzed in Trusted Execution Environments (TEEs).

3. Zero-knowledge proofs validate AI outputs without exposing raw data.

Sui Blockchain Integration:

1. zkLogin with Google: Users sign in securely via Google OAuth, with Sui’s zero-knowledge proofs ensuring anonymity.

2. Sui Move Contracts: Tokenize health data as NFTs or SPL tokens, enabling users to grant/revoke access and monetize anonymized datasets.

DeFi Health Incentives:

1. Partner with Suilend to offer health-backed loans (e.g., collateralize fitness milestones for low-interest loans).

2. Users earn $SUI tokens by contributing data to medical research via tokenized health insights.

Technical Architecture

1. User Interface Layer:
ChatGPT-style interactive chat interface.

2. Privacy Layer:
Atoma SDK for offloading AI computations to decentralized nodes with TEEs.

3. Blockchain Layer:
Sui zkLogin for anonymous authentication.
Move smart contracts (HealthGuard.move) to manage data permissions and tokenization.

4. Data Monetization Layer:
Integration with Suilend’s SDK for DeFi lending/borrowing based on health metrics.

Use Cases

1. Personal Health Management:
A user shares wearable data (e.g., heart rate, sleep patterns) via HealthGuard’s ChatGPT interface to receive real-time alerts and personalized advice.

2. Medical Research Partnerships:
Researchers purchase anonymized datasets (tokenized via Move contracts) to study trends in chronic diseases.

3. DeFi Wellness Programs:
A user stakes their ""fitness NFT"" (minted after completing a 30-day exercise challenge) as collateral for a loan on Suilend.

Why Sui?
zkLogin: Eliminates identity leaks while leveraging familiar Google logins.

Move Language: Ensures secure, auditable health data ownership and transactions.

Scalability: Handles millions of health data queries with sub-second latency.

Roadmap
Q1 2025: MVP launch with zkLogin + Google integration.

Q2 2025: Tokenize 100K health profiles; partner with wearable brands.

Q3 2025: Launch HealthGuard DAO for community governance.

Q4 2025: Expand to 1M users; integrate AI-powered clinical trial matching.

Differentiation
1. Privacy-First: Atoma + Sui zkLogin ensures data never leaves user control.

2. User Ownership: Move contracts enable true data monetization.

3. Cross-Platform: Combines AI, DeFi, and healthcare into a single ecosystem.


Aligned with Sui Agent Typhoon Criteria:

Technical Depth: Integrates Sui zkLogin, Move, Atoma SDK, and Suilend.

Real-World Impact: Solves healthcare’s $1.3T privacy crisis.

Innovation: First AI health agent with DeFi and user-owned data economies.

Community Focus: DAO-driven governance and open-source development.



",DeFi,0.7
"H2O Bounty is a decentralized task ecosystem built on Sui blockchain, where smart contracts meet community engagement. It enables project creators to launch rewarded tasks, while contributors participate in a transparent environment powered by automated workflows.

Key Innovations:

- ElizaBot - Your Discord Commander: Every task creation, update, or reward payout triggers real-time announcements in Discord. ElizaBot keeps your community aligned with automated notifications and direct action links.
  
- Dynamic SUI Rewards: Flexible reward pools with features like milestone payouts and auto-refunds. ElizaBot broadcasts every SUI movement with blockchain explorer proofs.(TODO)
  
- End-to-End Visibility: Track task status from start to finish through ElizaBot's Discord updates, each linked to immutable on-chain records.
  
- Dev-Centric Toolkit: Access Sui Move contract templates and beginner quests (e.g., ""Deploy a Hello World Contract"") via ElizaBot commands, earning verifiable on-chain credentials.

For projects seeking efficient crowdsourcing or developers building blockchain-proven portfolios, H2O Bounty – supercharged by ElizaBot's automation – serves as the trustless bridge between Sui opportunities and global talent.",Infrastructure,0.95
I Built plugins for defi protocols on sui for Atoma Agents and Eliza- Navi Plugin,DeFi,0.95
"DeepBookAI is revolutionizing on-chain trading by merging AI-driven intelligence with DeepBook’s decentralized orderbook on Sui. We’re building a next-gen AI-powered trading layer that enhances trade execution, liquidity optimization, and automated market-making strategies.

🔹 Deep Analytics & Market Insights – Real-time tracking of liquidity, order flow, and market depth.
🔹 TA-Driven Price Predictions – AI models leveraging historical data and technical indicators to forecast market movements.
🔹 Automated Market-Making Vaults – Smart liquidity strategies optimizing yield and execution efficiency.
🔹 AI-Powered Execution – Smart order routing and automated trade placement for seamless execution.

Currently, we’re actively working on AI-driven price prediction and optimization models to power DeepBookAI—bridging the gap between high-frequency trading (HFT) strategies and DeFi.",DeFi,0.95
"Mitsui Terminal is a next-gen DeFi trading and management platform, seamlessly integrating AI-driven automation with DeFi protocols on Sui. Powered by Mitsui Protocol, Mitsui Terminal simplifies DeFi interactions, enhances market intelligence, and provides smart insights for traders, investors, and developers. Designed to be intuitive yet powerful, Mitsui Terminal brings together seamless tooling integrations, predictive analytics, and automated workflows to optimize trading, lending, and asset management across multiple protocols.

Unlike other AI-driven automation tools, Mitsui Terminal is a self-hosted and non-custodial platform, meaning users maintain full control over their assets at all times. Mitsui Terminal does not store private keys or require third-party trust, which ensures maximum security and privacy. Users can deploy and manage their own instance of the terminal, giving them the flexibility to customize workflows, integrate new protocols, leverage mini apps, and retain full sovereignty over their DeFi interactions.

With Mitsui Terminal, users can engage in a variety of workflows:
- Trading Automation: Set up AI-driven driven strategies that execute trades based on real-time market conditions through its If-This-Then-That (IFTTT) mini app.
- Lending Optimization: Allocate assets across multiple lending markets while minimizing risk.
- Airdrop Management: Track, qualify for, and automatically claim upcoming airdrops such Walrus.
- Risk Assessment & Alerts: Receive predictive insights and alerts on potential market downturns or opportunities based on open data sets, and real-time data (e.g. Twitter feed, RSS)
- DeFi Portfolio Tracking: Monitor and rebalance assets across multiple protocols with real-time updates.",DeFi,0.95
"This project is an AI-powered NFT art platform that allows users to generate images based on an artist’s unique style using Stable Diffusion integrated with LoRA models. With the help of an AI agent, users can modify Stable Diffusion settings, request explanations, and refine their prompts for better results. Once satisfied, they can mint their AI-generated artwork as NFTs on the SUI blockchain. The platform ensures a seamless and intuitive creative process while leveraging smart contracts to manage transactions transparently. This includes handling minting fees, fund distributions, and—most importantly—automated royalty payments to artists who contribute their datasets, ensuring they are fairly compensated for their work.",NFT,0.98
Its an Image AI Generator and NFT Minter,NFT,0.95
"Numeron, an on-chain world built with Dubhe Engine on Sui Network, incorporates ElizaOS to create a genuine, intelligent, and interesting NPC system.",Gaming,0.95
"Suicasm revolutionizes blockchain analytics as a privacy-first Sui wallet intelligence platform powered by Atoma Network's decentralized AI infrastructure. By leveraging verifiable computation and autonomous agent frameworks, the solution enables users to obtain deep, cryptographically attested on-chain behavioral insights through simple wallet address input, while featuring one-click social dissemination to X platform - seamlessly bridging decentralized finance analytics with Web3-native social engagement",Infrastructure,0.9
"SuiSpark is an AI-driven funding platform leveraging SUI blockchain and multi-agent collaboration to evaluate and support innovative project ideas. Users submit their pitches with a small SUI token fee (0.01 SUI), engaging in an AI-led interactive questioning process to evaluate proposals. Three specialized AI agents with different fields of expertise assess submissions based on SUI relevance, business potential, and technical feasibility respectively, requiring at least two approvals for funding. Once approved by the agents, the project is funded with 0.05 SUI.",Infrastructure,0.95
"Portfolio analyzer Agent for SUI wallets. It will provide in-depth analysis, market estimations, and trading tips based on wallet contents and current market data.",DeFi,0.95
"Five Realms AI - An Open-World AI + GameFi Adventure Built for Sui Network

Five Realms AI is an innovative open-world adventure game designed to push the boundaries of AI and GameFi on the Sui Network, offering players a universe of endless possibilities.

By leveraging Sui's high-speed, scalable blockchain infrastructure, we aim to create a seamless and immersive experience that integrates cutting-edge AI technology with decentralized gaming. Key highlights include:

1. BOMOS AI Agent: The industry's first self-trained Large Language Game Model (LLGM), deeply embedded in the game's lore, world map, NPCs, and objectives. BOMOS crafts unique life stories for each player, allowing their actions to dynamically shape the world. Built for Sui, BOMOS ensures low-latency, on-chain interactions that enhance player immersion.

2. Unique Gaming Experience: Encounter dynamic interactive scenarios and AI-customized events, enriched by diverse terrains and elemental powers. The innovative leveling system, guided by BOMOS, breaks away from traditional experience points, offering a fresh and engaging progression. Powered by Sui's high-throughput capabilities, every in-game action is recorded and rewarded in real-time.

3. NFTs with Real Utility: NFTs go beyond avatars—equipment traits can be transferred into the game, enhancing both appearance and gameplay. Higher-level equipment accelerates progression and reduces risks, while NFTs also serve as proof of early contributions, granting holders ongoing rewards. Built on Sui's secure and efficient blockchain, our NFTs ensure true ownership and interoperability within the ecosystem. Building on Walrus, we can enable dynamic NFTs with rarities and utilities in game.

Five Realms AI is designed to harness the full potential of the Sui Network, delivering a high-performance, AI-driven gaming experience.

By integrating Sui's scalable infrastructure, we ensure fast transactions, low costs, and a seamless user experience, making it the perfect foundation for our vision of a decentralized, AI-powered gaming universe.",Gaming,0.95
"Rockee is an AI-driven DeFi protocol designed to transform how users interact with decentralized finance. By combining AI-powered insights, real-time market data, and proven expertise in DeFi, Rockee provides a user-friendly experience tailored for both Web2 newcomers and seasoned Web3 users to optimize their investments and navigate DeFi with confidence.",DeFi,0.95
"The Al-based community tool to collect and aggregate the web data. FlyFish agent uses
agents to detect the semantic structure of the website the user visits. It parses and
stores data on the Walrus. Al agent now can chat with data on chain.",Infrastructure,0.95
"Matrix is an CFO AI Agent designed to help both enterprises and individuals to manage crypto spending, revenue and investment.

-For Individuals
1.Smart Spending Management - AI-powered categorization of spending for better budgeting.
2.Income & Earnings Management - Track and analyze crypto-based salaries, staking rewards, and trading profits.
3.Automated Tax Calculation & Compliance - Generate region-specific tax reports for effortless filing.
4.Investment & Portfolio Optimization - AI-driven insights to balance risk and maximize returns.

-For Enterprise
1. Corporate Expense & Treasury Management - Automate spending analysis and optimize fund allocations.
2. Real-time Financial Reporting & Compliance - Generate detailed reports with automated reconciliation.
3. Revenue & Cash Flow Forecasting - AI-powered insights for liquidity planning and financial stability.
4. Payroll & Vendor Payments - Automate salaries, vendor transactions, and contractor payments via smart contracts.",Infrastructure,0.95
" A decentralized trivia game where AI generates unique questions, players wager tokens, and winnings are transparently distributed on Sui.",Gaming,0.95
A data labelling adventure,Other,0.85
"Vulkan is a cutting-edge AI-powered market intelligence and yield optimization platform tailored for the SUI blockchain ecosystem. It integrates real-time data analytics, predictive modeling, and multi-protocol support to empower DeFi users with actionable insights and automated strategies.  

Mission & Vision
To democratize DeFi by providing transparent, efficient tools for informed decision-making, positioning Vulkan as the leading intelligence platform for SUI.

Key Features
- AI Analytics: Real-time market tracking, trend detection, and sentiment analysis.  
- Predictive Tools: Price forecasts, scenario simulations, and risk alerts.
- Yield Optimization: Cross-protocol strategies (e.g., Cetus, Turbos Finance) tailored to risk profiles.
- Dynamic Dashboards: Customizable metrics, AI alerts, and portfolio tracking.

Integrations to date (with more to follow):
* DeFi Protocols - Cetus (liquidity), Turbos Finance (lending), Aftermath Finance (tools)
* Analytics - Suivision, Supra (oracles)
* NFTs/Marketplaces - Tradeport, BlueMove, Clutchy
* Trading - Desig (workflow automation)
* Desig: Workflow automation tools for efficient DeFi interactions.

Copilot Interface
- Conversational AI for simplified queries (e.g., “Summarize my portfolio” or “Predict SUI price trends”)
- Guided strategy creation and real-time analytics summaries.  

User-Centric Design 
- Personalized dashboards, multilingual support, and educational resources for all expertise levels.  
AI-Driven Insights
- Market predictions (e.g., token price movements).
- Yield recommendations across protocols (e.g., 18% APR on Aftermath Finance).
- Proactive risk alerts (e.g., liquidity drops).  
",DeFi,0.95
